Site,Watershed,Stream,SiteUnit,ChUnitNumber,FishCrew,SurveyType,Method,Date,Tier1,Tier2,Discharge,Temp,PercentIceCover,Species,count,Pass1.M,Pass2.C,Pass3.R
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_1,1,ODFW,Calibration,Mark Recapture,2017-10-17T19:10:00Z,Riffle,NA,NA,4,NA,BrookTrout,0,0,0,0
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_2,2,ODFW,Calibration,Mark Recapture,2017-10-17T19:10:00Z,Pool,NA,NA,4,NA,BrookTrout,0,0,0,0
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_3,3,ODFW,Calibration,Depletion,2017-10-17T19:10:00Z,Riffle,NA,NA,4,NA,BrookTrout,0,0,0,NA
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_6,6,ODFW,Calibration,Mark Recapture,2017-10-18T19:05:00Z,Pool,NA,NA,4,NA,BrookTrout,0,0,0,0
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_7,7,ODFW,Calibration,Mark Recapture,2017-10-18T19:05:00Z,Riffle,NA,NA,4,NA,BrookTrout,0,0,0,0
DSGN4-000009,Upper Grande Ronde,Grande Ronde River,DSGN4-000009_6,6,ODFW,Calibration,Mark Recapture,2017-10-15T18:45:00Z,Run,NA,NA,3.5,NA,BrookTrout,0,2,1,1
DSGN4-000009,Upper Grande Ronde,Grande Ronde River,DSGN4-000009_5,5,ODFW,Calibration,Mark Recapture,2017-10-16T19:02:00Z,Pool,NA,NA,2,NA,BrookTrout,1,1,1,1
DSGN4-000009,Upper Grande Ronde,Grande Ronde River,DSGN4-000009_7,7,ODFW,Calibration,Mark Recapture,2017-10-16T19:02:00Z,Pool,NA,NA,2,NA,BrookTrout,0,0,0,0
DSGN4-000001,Upper Grande Ronde,NF Catherine Creek,DSGN4-000001_6,6,ODFW,Calibration,Mark Recapture,2017-10-23T18:52:00Z,Pool,NA,NA,4,NA,BrookTrout,5,3,1,1
DSGN4-000001,Upper Grande Ronde,NF Catherine Creek,DSGN4-000001_7,7,ODFW,Calibration,Mark Recapture,2017-10-23T18:52:00Z,Pool,NA,NA,4,NA,BrookTrout,0,1,1,1
DSGN4-000001,Upper Grande Ronde,NF Catherine Creek,DSGN4-000001_8,8,ODFW,Calibration,Mark Recapture,2017-10-23T18:52:00Z,Riffle,NA,NA,4,NA,BrookTrout,0,0,0,0
CBW05583-280042,Upper Grande Ronde,Grande Ronde River,CBW05583-280042_4,4,ODFW,Calibration,Depletion,2017-11-16T17:27:00Z,Riffle,NA,NA,1.5,NA,BrookTrout,0,1,0,NA
